unique_identifier,usage,log_usage,status
9642fca46928674c51ea8eae0b8921ac,44005.00,4.6435020253,FINALLED
170cb16602ea3add5a7dff01f7eb4c17,3761.00,3.5753033334,ACTIVE
aa7acd82e9a6e1528cbd346914e2ee13,7427.00,3.8708134239,ACTIVE
aa7acd82e9a6e1528cbd346914e2ee13,19468.00,4.2893213376,ACTIVE
89dc2fbb0de5479147d7264ad2b6919b,23570.00,4.3723595825,ACTIVE
dab135e9e68d6b51a0de860a4099a4a5,55818.00,4.7467742713,FINALLED
5cf12bcdba1a964c0d65647bc04e1611,91160.00,4.9598043165,FINALLED
71f2316aa6eb398ef79dc25d4e6d7798,74884.00,4.8743890346,ACTIVE
f4502699ae059a436d94360188c2b5ff,106704.0,5.0281807001,FINALLED
c45088576a58775f140eaf295bfb1a67,69490.00,4.8419223117,ACTIVE
e8a9bd296b530856f1ee3b85e42caaac,2194.00,3.3412366232,FINALLED
571c5a16f86ac36cf73d0d45d79fbc5c,331215.3,5.5201103902,ACTIVE
41d67acd27a14e3340d778094858bf11,1077.00,3.0322157033,ACTIVE
6f3e713f25fec87cace7e324636a921a,10247.00,4.0105967362,FINALLED
bb05f70d87388e678b76e28d84568fb7,40000.00,4.6020599913,FINALLED
dd533b91ca4eaa5ebbe6772a6ad4e09e,23050.00,4.3626709297,ACTIVE
f7dd3eb929bbc0e17abf8da7e1fd7eb0,3082.00,3.4888326344,FINALLED
170cb16602ea3add5a7dff01f7eb4c17,22159.40,4.345557997,ACTIVE
1a84433e4d84e79954b547e703e5564a,8692.00,3.9391197176,ACTIVE
adc5f25e7615f1a62f30fa16e33d0651,24443.00,4.3881545078,FINALLED
980bd7a7a3fe8ad2090273d78370c9a4,4466.50,3.6499673383,ACTIVE
ea0c4a37f0ca9b6f735d16e846caa265,5640.80,3.7513407017,FINALLED
09d714757053a11c1e38ec911449b9e9,119040.0,5.0756929182,FINALLED
df2a64d2e77803d38e5709c45a7cbb69,6999.00,3.8450359935,FINALLED
d1ae112f6959b3f1d6e50d117a17a9b1,2953.00,3.470263447,ACTIVE
d1ae112f6959b3f1d6e50d117a17a9b1,12779.00,4.1064968701,ACTIVE
ceedd49a273b7463bf934b568db68ecc,36898.00,4.5670028265,FINALLED
92c4bac63c5f4cfeb5f0922b394badd5,15072.00,4.1781708854,ACTIVE
2e889f3cfc1c78b050fc6b4f1c8bb45b,13964.00,4.1450098401,ACTIVE
2e889f3cfc1c78b050fc6b4f1c8bb45b,6496.00,3.8126460162,ACTIVE
30e5b5f5075267461a60198c88b5aef8,66900.00,4.8254261178,ACTIVE
3404dd2ab3ad64a24c4672113ad556b5,6277.00,3.7977521287,FINALLED
77229dbca4519249c471d681151c9235,7235.00,3.8594385355,ACTIVE
5b7915e03247a8e918ee2183f63ee6ff,67663.00,4.8303512494,FINALLED
7d594ddc9be11c9dd4c8982605b1f51a,6339.00,3.8020207518,ACTIVE
46d25f21f09fc6c9b1bfa2f0e357453a,15551.00,4.1917583214,ACTIVE
1517f86bca9f11820748bbe64241b4d0,6823.00,3.8339753713,ACTIVE
dde55a8d18715e473389244a4ce22ff0,37518.00,4.5742396791,ACTIVE
7b7466324e847bd70aadfce4b912920e,106800.0,5.0285712527,ACTIVE
7c7c3bb7f7b824c70c7640b9d5d43170,36094.00,4.557435014,FINALLED
e64a0db512939a29f92b9906f1eab052,208960.0,5.3200631596,ACTIVE
a72a7b2d68f208eff4dec1c1565aa408,3973.00,3.5991185651,FINALLED
23e33fe3d2df6ec04b4e2f1d868dbdfb,70263.00,4.8467266888,ACTIVE
bb480220db0d9df3775288b77d87d89d,34819.00,4.541816294,FINALLED
7357115e7ac442abb37e15a392d45db4,125840.0,5.0998187096,FINALLED
7434f1d697c68bf36ae0b301aeb513c5,16180.00,4.2089785173,ACTIVE
df8c899281b4a53fb0d10e121285269c,23034.00,4.3623693625,FINALLED
502617dfc5d8014e9b67282c84ea3138,37668.00,4.5759725617,FINALLED
1444dd60a9f7fdd71bbb0ac2d4a50c1d,20400.00,4.3096301674,FINALLED
3ff84388b224638c8c870fd60f0b31cc,51387.00,4.7108532641,ACTIVE
1ebbe81294e0400ec78ebbc5f7338b62,100131.0,5.0005685535,ACTIVE
7724abcfc33ae3bdc372d255dd360584,128922.0,5.1103270342,FINALLED
b755b6b34c156d4a100d8b28abd120af,9763.00,3.9895832893,FINALLED
b755b6b34c156d4a100d8b28abd120af,1794.00,3.2538224387,FINALLED
df5d9fada42d0818e73c513ae93b97d8,8151.00,3.9112108931,FINALLED
e09a3b83d1e730e7bfc339b3fd269197,8291.00,3.9186069151,FINALLED
da1064ba0bdb26a619469524246a2ff5,12083.80,4.0822035286,ACTIVE
aa35ded12ad7159c5cc76dbc06df7e4a,864.00,2.9365137425,ACTIVE
c227b2985e4332efa0a8379ee2a7f578,3076.00,3.4879863311,ACTIVE
9c838590a21deacd7c5f5935cc478319,66240.00,4.8211203238,ACTIVE
888bd079c3eedb786e842db23e925dff,176241.7,5.2461086733,ACTIVE
0c58ec2674d413eea4c2b118a20deb8c,53012.00,4.7243741893,FINALLED
289b86724ec6d60cf81106789e0fba04,28398.00,4.4532877549,FINALLED
3785bf6b0c81a64e06ce040fe516c81e,6655.00,3.8231480598,FINALLED
9abba5ea8308b424621e13ac31412af3,9013.00,3.9548693711,ACTIVE
506e4bce97cbabbf52412a8e75f2f4c2,22835.00,4.3586010159,FINALLED
3b392dc94be14c79d91b4b7c1dd7f98c,62445.00,4.7954976699,FINALLED
492d3f07d629093e7bca8a925660d228,31967.00,4.504701881,FINALLED
26d61e212a2a5aad0ebfd833d6cccd4f,115732.0,5.0634534584,ACTIVE
50512dcadb45d4a4f88d9b4696fc2cd1,11268.00,4.0518468383,FINALLED
50512dcadb45d4a4f88d9b4696fc2cd1,13582.00,4.1329637261,FINALLED
d4ce15fff3fedd955af202a1bce0b388,62715.00,4.7973714266,FINALLED
d4ce15fff3fedd955af202a1bce0b388,21283.00,4.328032845,FINALLED
d2f6bce4eb2d0f03d0de9b0570f717b4,84645.00,4.9276013093,FINALLED
696a5299924efb63483109b2c5125ae2,27300.00,4.436162647,ACTIVE
a72a7b2d68f208eff4dec1c1565aa408,40000.00,4.6020599913,FINALLED
39b56d6e053e03ef0fbf1d330cd268cb,7049.00,3.8481275106,FINALLED
9d8ef7ccd406f0bea757b78936f887f1,20542.00,4.3126427249,FINALLED
0acccb770dab26ae0d0289c8aa2e0071,53945.00,4.7319511974,FINALLED
108008bf00d257894246ea9761726d00,11138.10,4.0468111128,ACTIVE
