unique_identifier,usage,status
0001230a214b39e0e5c463bfe440fb15,81440.0,FINALLED
000345e997e72b61b990d2689c76427f,556.3,ACTIVE
0003c4d7aeb24f319f0d7c6ddb60bb8f,32564.0,FINALLED
00082675e86a9f3cf5fdcc5d4cd9114d,5519.0,FINALLED
00095201031df44962513f378842d521,5946.0,ACTIVE
000a04481ee5acbb856a7c485a67423a,75468.0,FINALLED
000bee0b537b676a975a15999776581f,88280.0,FINALLED
000c88d34beda722f7b559bb056b7809,109258.0,ACTIVE
000f645a52095f72ec723133e2b0092c,9686.0,FINALLED
00109796f3c34d87f1ff2778498a8016,65700.0,FINALLED
0012e632be3d04fab35771fe3fb6db31,15194.0,ACTIVE
00130d1949e17227076bc7e4f75139af,22534.0,ACTIVE
00132da27bf07ae535d944c55f820f3e,247200.0,ACTIVE
0013e9592f8ddda6e6c3d6ef65523ed4,74304.0,FINALLED
001ad04ecd4caddf37a7ebf6caafaa6c,83016.0,FINALLED
001bd1817a1253f08b137041be4c3c9d,49813.0,ACTIVE
001ed9def989e5da26bf2dfc2cb0e8cc,8083.0,ACTIVE
001f13bf8ee7f7492974bb0336a77050,3181.0,FINALLED
001f8624e5391dc5c6fa6c35b883dd94,34272.0,FINALLED
00218024e941fddb05762b121ebdf5d1,9535.0,ACTIVE
0025aeda3082aaa35e76bffefff29024,2517.0,ACTIVE
0026577e0126dccd4ae6928f8b5951e1,19025.0,ACTIVE
0026692138a0f60512c28f95bc26776e,240.0,ACTIVE
0026bddc20b14bb9e988c60e2accca9c,333.0,FINALLED
0027596a0e7252b3739cac6d56605226,68500.0,ACTIVE
0027a56994cb3c852a1da20ecc98ddc4,23857.8,ACTIVE
00292d1130a5b31886e6ea5b98142e41,26655.0,FINALLED
002b16fa70e9ed3ccc4b781b2f6bafc9,7874.0,ACTIVE
002d46249597829ea4abb009907a62d9,75160.0,FINALLED
002dc3bb48724c236bd832bd518d4b02,8071.0,FINALLED
002e2a0575819ddd2f731a8726b76cb3,3409.0,FINALLED
0030cf1a002524271d0b82280721525b,4803.8,FINALLED
00310c118abb5a7c78ae8418080acc48,131522.0,ACTIVE
00324862a39bd06162f7fa04b32a2290,10592.0,FINALLED
0032955b85e1b0b2e2afcf0636106e0e,11409.0,ACTIVE
0033b3170cf31442bd45307a7f3c4662,3251.0,ACTIVE
0034108c45e4014cc7b73d3eab731385,108000.0,ACTIVE
0034842d5169ae7cf086b45b3653da24,340227.7,ACTIVE
0035a3b14d0271742a6b89b2ae182c2f,25351.0,FINALLED
003654a88c03d6d9229e3fb12e82b46c,23725.0,FINALLED
00378d34547425d24405b1636b2044b9,35996.3,ACTIVE
0038474573488af37ca820bc3c1ff47b,6337.0,ACTIVE
0039a306be3c9591b6c0dad3612b7fd3,8691.0,ACTIVE
003c6b02a71d50a6671fcd49a9f3f021,27300.0,ACTIVE
003d0e3798feb33d9fa2504667624187,17466.0,ACTIVE
003d212d313ffe455f9e0ca2e9362732,15697.0,ACTIVE
003dfa90f672cd247b3849ee5bd40dc3,85400.1,ACTIVE
003e351b71afe77ecae36af1eb3d1d66,26685.0,ACTIVE
003fb1c2d6924135705cc5b1c2aa5e40,122691.0,FINALLED
0040c88919e6b53d79cf0e3c5a2aa13d,66797.0,ACTIVE
0041060f8b07c4e38f85c88c3c9f07a1,1772.0,FINALLED
0041cd68502b578fee6dd080dfb6e5bb,1204.0,ACTIVE
0043469659f2ba24ab89654a20353447,30638.0,ACTIVE
004382d11413378b9358935b5425641a,7008.0,ACTIVE
0043ded2f85e4822e97e1ae26d4c67c3,11882.0,FINALLED
0046436decb48b6091260f5dc64bf210,276800.0,FINALLED
00469483c212c797ebdce417cbc3c267,16138.0,ACTIVE
0046ff2e3b0f559d4a2b44b862e69d1d,60920.0,FINALLED
004aa2a94b9eca42f741cb1888f4c16c,366907.3,FINALLED
004bc5302d811426a578bb911e422af1,287737.3,ACTIVE
004ceee1fd110369c0c4d1a728e6a097,21204.0,ACTIVE
004d4ead7154193cfaaa854014c68fa8,7233.0,ACTIVE
004de3ad91099a9a682df38e2bbf434a,46991.0,ACTIVE
0051f2810968b06ef755fbcf55b207da,20303.3,FINALLED
005408b65d43ac4813a930782162d729,49749.0,FINALLED
005478fd03dd5c083cb3610984d1e4b1,7688.0,ACTIVE
