unique_identifier,usage,usage_range,PA,IL,TX,OH,MA,MD,NJ,NY,CT,B2B_ACCOUNTING_EXPENSE_CODE,B2B_ADVERTISING_EXPENSE_CODE,B2B_BIG_BUSINESS_INDICATOR,g_grow,s_grow,c_grow,B2B_BUSINESS_SQUARE_FOOT_NUM,B2B_COMPUTER_EXPENSE_CODE,B2B_CONTRACT_LABOR_EXPENSE_CODE,B2B_CREDIT_GRADE,B2B_EMPLOYEE_SIZE,B2B_EXPENSE_TYPE,B2B_HIGH_TECH_FLAG,B2B_INSURANCE_EXPENSE_CODE,B2B_LEGAL_EXPENSE_CODE,B2B_MEDIUM_SIZE_FLAG,B2B_MULTI_TENANT_DESCRIP,B2B_PAYROLL_EXPENSE_CODE,production_year,B2B_PURCHASE_ADMIN_EXPENSE_CODE,B2B_PURCHASE_PRINT_EXPENSE_CODE,B2B_REST_LEASE_EXPENSE_CODE,B2B_SALES_VOLUME,B2B_SMALL_SIZE_FLAG,B2B_TELECOMMUNICATIONS_CODE,B2B_TENANT_FLAG,B2B_UTILITY_CODE,B2B_WHITE_COLLAR_FLAG,Business_and_Finance,General_Merchandise,Hotels_and_Educational_Boarding,Personal_Services,Auto,Food_and_Dining,Amusement_and_Recreation_Services,Wholesale,Blue_Collar_Work,Manufacturing,Public_Health_and_Social_Services,Real_Estate
b673cdfcf5526c51b84602903ec3204a,103800.0,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,1,1,0,1,0,0,0,0,9,0,0,1,0,1,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0
b673ec3f1bf5167fe678617501a75c20,36375.0,3,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,1,4,7,1,2,1,0,4,3,1,1,3,3,3,3,3,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
b676259156dc3947f1bf23cf0764e3de,178258.0,5,0,0,1,0,0,0,0,0,0,2,4,0,0,0,1,3,2,2,3,3,1,0,7,4,0,1,4,9,2,7,3,6,0,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0
b6786b59deedefc3d9b1e0763108432f,14806.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b6799febdf460f6873b2cc5f1e14e3ef,8286.0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,1,0,4,2,0,1,1,0,3,2,0,0,2,9,3,2,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
b67abca83ec6e914919be26a05ce62d3,4968.0,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,1,0,4,2,3,2,1,0,4,3,1,3,3,9,2,2,0,2,0,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0
b67d70f19552322d5bbd1a3e8d098bb9,86686.0,4,0,0,1,0,0,0,0,0,0,4,3,0,0,0,1,2,5,2,0,2,1,0,3,4,1,3,3,9,4,4,3,5,0,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0
b67dd9f88335e651697b4b5308846a90,1104.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,3,1,9,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b6853d6aa4216705c2b17b58592ad5bb,32626.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,3,0,9,0,0,0,0,1,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0
b68908775dfa43d03726ef16270c8f19,67392.0,4,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,3,5,2,1,3,1,0,7,3,1,1,4,9,3,7,4,4,0,2,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0
b689505d5b4c786989f575d5e3650242,70045.0,4,0,0,0,0,1,0,0,0,0,6,6,0,0,0,1,3,6,4,1,4,0,0,5,6,0,0,6,9,6,6,4,11,0,5,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0
b689f052eb6c62f7f974140983866da3,138339.5,5,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,3,0,1,0,1,0,0,3,0,9,1,1,2,2,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
b68c2fb99e71a1bd76da6c9662b3c5bf,1879.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,3,0,9,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b690a321ee7af9845fc831066b7b852f,1072.0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,2,1,0,0,1,0,1,3,0,1,1,9,2,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
b69457728463a9431abf428881a9769a,56240.0,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,5,0,1,0,1,0,0,3,0,9,2,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
b6947ae9ff5e71456e35eff1bb5e3cdc,11781.0,2,0,1,0,0,0,0,0,0,0,3,3,0,0,0,1,0,4,1,3,1,1,0,3,3,0,3,3,9,2,3,3,4,1,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0
b6953eaa70f0ae6eda4b18115180163f,5416.7,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,1,1,3,2,2,1,1,0,1,2,0,3,1,9,3,2,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
b6955b9127387a1b9305cf445a839a0d,23196.0,2,0,0,0,1,0,0,0,0,0,7,7,0,0,0,1,0,7,7,6,0,1,0,7,7,0,3,7,9,7,7,7,11,0,7,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0
b696378cefd29c14d334b5cc5b8a005d,6458.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,3,0,9,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
